"Country","Alcoholic Beverages","Animal Products","Animal fats","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar Crops","Sugar & Sweeteners","Treenuts","Vegetal Products","Vegetable Oils","Vegetables","Miscellaneous","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Gabon",0.6967,24.3394,0.0188,0,15.1258,0.1695,5.2846,1.6507,14.6928,1.7071,2.4666,3.3264,0.069,0,3.3202,0.1004,0.0063,0,0.0126,25.6637,0.0126,0.9352,0.4017,13.4,"10.5",0.322232182877633,0.00219632451815329,0.209861048857015,0.110174809502465,2231000,"%"
"Gambia",0.2116,13.0026,0.0078,0,26.687,0.3213,6.7403,0.0705,2.3513,3.3702,0.2116,8.0649,0.4232,0.0078,0.1332,0.4232,0,0,0.1019,37.0013,0.0157,0.6427,0.2116,8.7,"10.2",0.0134877947869259,0.000330988829127017,0.00273065784029789,0.010426148117501,2417000,"%"
"Georgia",0.1495,18.4294,0.169,0,27.2574,1.1636,1.4822,0.3835,6.7867,8.2299,0.5981,0.299,0.013,0.0715,1.2936,0.6436,0,0.0065,0.2665,31.5673,0.026,0.8906,0.273,23.3,"7.9",0.0308209959623149,0.000430686406460296,0.0249528936742934,0.00543741588156124,3715000,"%"
"Germany",0.6525,30.2658,0.3023,0,12.9162,1.7081,2.0631,0.6237,13.7703,12.0526,0.3646,0.7821,0.2351,0.12,1.3051,0.6669,0,0.0048,0.7005,19.7342,0.0288,1.7033,0,25.7,"<2.5",0.249348139255702,0.0109615846338535,0.228944777911164,0.00944177671068427,83300000,"%"
"Ghana",0.1509,12.1922,0.0079,0,16.2272,0.2701,6.6164,2.5417,4.1064,0.5878,0.5957,2.5576,3.2089,1.2073,10.8181,0.0159,0.0318,0,0.1191,37.8157,0.0159,0.8419,0.0715,9.7,"5.5",0.110726354069449,0.000540662311331381,0.0985453609242751,0.0116403308338429,31073000,"%"
"Greece",0.2376,26.9807,0.0998,0,14.543,1.2737,2.6995,0.9981,10.9548,11.0689,0.884,0.6036,1.3593,0.0665,1.1121,0.6273,0,0.0095,0.8887,23.0217,0.0285,2.3193,0.2234,27.4,"<2.5",0.0399906542056075,0.00189719626168224,0.0128411214953271,0.0252523364485981,10700000,"%"
"Grenada",0.1204,30.3273,0.0567,0,12.2414,1.8631,5.9719,1.4452,15.3939,6.5812,0.4605,0.5809,2.6991,0.5667,0.6801,0.1204,0,0,0.0425,19.6727,0.0283,0.7793,0.3684,20.2,NA,0.020353982300885,0,0.020353982300885,0,113000,"%"
"Guatemala",0.0787,15.405,0.0358,0,23.6119,2.6188,0.5581,0.6583,8.7221,2.9408,0.5366,1.431,6.597,0.0859,0.2504,0.4865,0,0,0.1002,34.595,0.0143,1.1806,0.093,18.8,"15.2",0.257118343850327,0.00986383261374959,0.185397985165504,0.0618565260710727,18066000,"%"
"Guinea",0.0404,9.2262,0.0162,0,26.1017,0.4286,2.442,1.3019,4.1077,1.4797,0.7601,3.5417,2.159,0,3.0403,0.2183,0,0,0,40.7779,0.0081,4.2371,0.1132,6.6,"16.5",0.0567356687898089,0.000366242038216561,0.0502547770700637,0.00611464968152866,12560000,"%"
"Guinea-Bissau",0.1925,10.5663,0.034,0,30.7701,0.2718,0.4077,0.9966,6.761,2.1857,0.906,1.2684,1.3364,0,1.88,0.0793,0,0,1.8913,39.4337,0.0113,0.7928,0.2152,8.2,"28",0.101401141670991,0.00134924753502854,0.0416709911779969,0.0583809029579658,1927000,"%"
