"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Romania",4.7679,0.3474,15.9287,0,8.0412,0.6848,0.2844,4.2115,3.0499,11.4018,0.2567,0.1594,0.0974,0.1045,0.1274,4.713,0.1398,1.4126,0,0.1093,0.7301,9.3641,34.0679,24.5,"<2.5",0.0944321057796601,0.00622385207375652,0.0600692113010692,0.0281390424048345,19361000,"%"
"Russian Federation",3.7425,0.2486,16.1525,0.0023,8.2803,0.9029,1.1312,3.162,4.318,9.3253,0.0118,0.2249,0.1319,0.1426,0.0118,6.3194,0.1809,4.6144,0,0.0118,0.8663,6.3713,33.8472,25.7,"<2.5",0.240867301388255,0.0024759594087139,0.0809631229937777,0.157428218985763,146731000,"%"
"Rwanda",1.3631,0.0186,2.6366,0,3.538,0.0269,0.5279,15.7285,0.6257,1.3521,0.0283,0.0855,0.2233,2.5036,0.0179,20.4415,0.011,0.5782,0,0,0.2109,2.7193,47.3634,4.8,"36.8",0.00266096459966738,0,0.00188484992476439,0.000776114674902986,12627000,"%"
"Saint Kitts and Nevis",4.0867,0.1735,14.0252,0,6.3135,0.3868,3.4174,7.5449,7.8207,1.895,1.5442,0.3318,0.947,0.5422,0.0901,2.715,0.0749,6.4623,0,0.0673,1.385,4.209,35.9677,23.1,NA,0.0283018867924528,0,0.0283018867924528,0,53000,"%"
"Saint Lucia",7.8024,0.0252,14.8893,9e-04,7.2091,0.3326,3.0652,5.9453,8.17,2.8881,1.6054,0.4063,0.6274,0.5663,0.178,2.6427,0.0602,3.7043,0,0.0575,0.6103,4.1169,35.0964,19.8,NA,0.01,0,0.01,0,180000,"%"
"Saint Vincent and the Grenadines",2.526,0.022,11.0865,0,9.0142,0.3412,1.3785,10.471,6.9184,2.2593,1.9325,0.1672,0.1049,0.6452,0.2113,4.3734,0.2933,3.4592,0,0.0357,0.7227,5.1371,38.9005,23.8,"5.7",0.0162162162162162,0,0.0126126126126126,0.0036036036036036,111000,"%"
"Samoa",1.4236,0.2262,11.163,0.1236,3.6768,0.1314,2.7788,10.7845,5.7993,1.9647,0.7751,0.1398,10.5187,0,0.0582,7.6944,0.1344,2.0811,0.0036,0.0108,0.5117,1.1656,38.8349,45.5,"2.7",NA,NA,NA,NA,199000,"%"
"Sao Tome and Principe",1.5187,0.022,4.1199,0,7.3796,0.0562,2.3033,18.2736,1.2054,0.5152,0.424,0.0187,9.9865,0.3109,0.0293,3.7154,0.0073,2.5939,0,0.0024,0.7805,0.857,45.8801,10.6,"7",0.145145631067961,0.00533980582524272,0.00194174757281553,0.137864077669903,206000,"%"
"Saudi Arabia",0,0.3917,12.9962,0,16.3284,0.6003,1.0369,7.0413,4.9529,5.8598,0.669,0.1547,0.1492,0.4768,0.2434,1.4542,0.205,2.8571,9e-04,0.1135,1.7626,5.7024,37.0038,35,"7.1",0.218583786311298,0.00116605295458531,0.133461920626571,0.083955812730142,34218000,"%"
"Senegal",0.3209,0.0353,5.3434,0,25.9204,0.1878,2.0588,2.3456,1.6081,1.2496,0.0148,0.206,0.7637,0.4712,0.0717,2.6177,0.1161,2.0941,0,0.1047,1.9325,7.8951,44.6423,7.4,"11.3",0.0192071674030437,0.000214776632302405,0.00929675994108984,0.00969563082965145,16296000,"%"
